+-----------+--------------------------+--------------------------+----------+-----------+---------+---------------------+---------------------+------------+---------+---------+---------+----------+----------+----------+----------+----------+----------+----------+----------+--------+--------+-------+------+------+------+
| serial_no | kintex_a_id              | kintex_b_id              | batch_id | db_status | burn_in | burn_in_start       | burn_in_stop        | burn_in_op | kin_lot | pro_lot | gbt_lot | ina_lot  | ltm_lot  | mos_lot  | op4_lot  | ok4_lot  | ok1_lot  | mem_lot  | sfp_lot  | e_test | p_test | a0    | a1   | b0   | b1   |
+-----------+--------------------------+--------------------------+----------+-----------+---------+---------------------+---------------------+------------+---------+---------+---------+----------+----------+----------+----------+----------+----------+----------+----------+--------+--------+-------+------+------+------+
|   1100001 | 40020001017166292C21A105 | 40020001017166292CF14145 |        3 |         0 |       1 | 2026-03-13 17:00:00 | 2026-03-18 16:00:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | NULL  | NULL | NULL | NULL |
|   1100002 | 40020001017166292D310585 | 40020001017166292CB02405 |        3 |         0 |       1 | 2026-03-13 17:00:00 | 2026-03-18 16:00:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | NULL  | NULL | NULL | NULL |
|   1100003 | NULL                     | NULL                     |        3 |         0 |       1 | 2026-03-13 17:00:00 | 2026-03-18 16:00:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | NULL  | NULL | NULL | NULL |
|   1100004 | 40020001017166292CF10105 | 40020001017166292CC0E405 |        3 |         0 |       1 | 2026-03-13 17:00:00 | 2026-03-18 16:00:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | NULL  | NULL | NULL | NULL |
|   1100005 | 40020001017166292C21A145 | 40020001017166292CF12045 |        3 |         0 |       1 | 2026-03-13 17:00:00 | 2026-03-18 16:00:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | NULL  | NULL | NULL | NULL |
|   1101001 | 40020001017166292CE0A385 | 40020001017166292D008245 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0394  | 0395 | 0410 | 0412 |
|   1101002 | 40020001017166292CB1E3C5 | 40020001017166292CA04345 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0504  | 0505 | 0506 | 0507 |
|   1101003 | 40020001017166292CA0C185 | 40020001017166292C216485 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0318  | 0317 | 0443 | 0442 |
|   1101004 | 40020001017166292CF0C345 | 40020001017166292CF0C245 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0500  | 0501 | 0502 | 0503 |
|   1101005 | 40020001017166292CB1A345 | 40020001017166292CA022C5 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | NULL  | NULL | NULL | NULL |
|   1101006 | 40020001017166292CD04185 | 40020001017166292C21C305 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0113  | 0112 | 0111 | 0108 |
|   1101007 | 40020001017166292CB1E1C5 | 40020001017166292CA00205 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0441  | 0440 | 0439 | 0435 |
|   1101008 | 40020001017166292CF0E585 | 40020001017166292D1080C5 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0436  | 0434 | 0437 | 0438 |
|   1101009 | 40020001017166292CE0A185 | 40020001017166292CF16145 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0458  | 0459 | 0460 | 0461 |
