Januari 2026;;;Februari 2026;;;Mars 2026;;;April 2026;;;Maj 2026;;;Juni 2026;;;Juli 2026;;;Augusti 2026;;;September 2026;;;Oktober 2026;;;November 2026;;;December 2026;;
T  1;Nyårsdagen;;S  1;;;S  1;;;O  1;;;F  1;Första maj;;M  1;;23 ;O  1;;;L  1;;;T  1;;;T  1;;;S  1;;;T  1;;
F  2;;;M  2;;6 ;M  2;;10 ;T  2;;;L  2;;;T  2;;;T  2;;;S  2;;;O  2;;;F  2;;;M  2;;45 ;O  2;;
L  3;;;T  3;;;T  3;;;F  3;Långfredagen;;S  3;;;O  3;;;F  3;;;M  3;batch #9 (80);32 ;T  3;;;L  3;;;T  3;;;T  3;;
S  4;;;O  4;;;O  4;;;L  4;Påskafton;;M  4;;19 ;T  4;;;L  4;;;T  4;;;F  4;;;S  4;;;O  4;;;F  4;;
M  5;Trettondagsafton;2 ;T  5;;;T  5;;;S  5;Påskdagen;;T  5;;;F  5;;;S  5;;;O  5;;;L  5;;;M  5;;41 ;T  5;;;L  5;;
T  6;Trettondedag jul;;F  6;;;F  6;batch #0 5 prototypes;;M  6;Annandag påsk;15 ;O  6;;;L  6;Sveriges nationaldag;;M  6;batch #7 (80);28 ;T  6;;;S  6;;;T  6;;;F  6;;;S  6;;
O  7;;;L  7;;;L  7;;;T  7;;;T  7;;;S  7;;;T  7;;;F  7;;;M  7;;37 ;O  7;;;L  7;;;M  7;;50 
T  8;;;S  8;;;S  8;;;O  8;;;F  8;;;M  8;batch #5 (80);24 ;O  8;;;L  8;;;T  8;;;T  8;;;S  8;;;T  8;;
F  9;;;M  9;;7 ;M  9;;11 ;T  9;;;L  9;;;T  9;;;T  9;;;S  9;;;O  9;;;F  9;;;M  9;;46 ;O  9;;
L 10;;;T 10;;;T 10;;;F 10;;;S 10;;;O 10;;;F 10;;;M 10;;33 ;T 10;;;L 10;;;T 10;;;T 10;;
S 11;;;O 11;;;O 11;;;L 11;;;M 11;batch #3 (80);20 ;T 11;;;L 11;;;T 11;;;F 11;;;S 11;;;O 11;;;F 11;;
M 12;;3 ;T 12;;;T 12;;;S 12;;;T 12;;;F 12;;;S 12;;;O 12;;;L 12;;;M 12;batch #14 (backup);42 ;T 12;;;L 12;;
T 13;;;F 13;;;F 13;;;M 13;Green light production;16 ;O 13;;;L 13;;;M 13;;29 ;T 13;;;S 13;;;T 13;;;F 13;;;S 13;;
O 14;;;L 14;;;L 14;;;T 14;;;T 14;Kristi himmelsfärdsdag;;S 14;;;T 14;;;F 14;;;M 14;batch #12 (80);38 ;O 14;;;L 14;;;M 14;;51 
T 15;;;S 15;;;S 15;;;O 15;;;F 15;;;M 15;;25 ;O 15;;;L 15;;;T 15;;;T 15;;;S 15;;;T 15;;
F 16;;;M 16;;8 ;M 16;;12 ;T 16;;;L 16;;;T 16;;;T 16;;;S 16;;;O 16;;;F 16;;;M 16;;47 ;O 16;;
L 17;;;T 17;;;T 17;;;F 17;;;S 17;;;O 17;;;F 17;;;M 17;batch #10 (80);34 ;T 17;;;L 17;;;T 17;;;T 17;;
S 18;;;O 18;;;O 18;;;L 18;;;M 18;;21 ;T 18;;;L 18;;;T 18;;;F 18;;;S 18;;;O 18;;;F 18;;
M 19;;4 ;T 19;;;T 19;Green light pre-production;;S 19;;;T 19;;;F 19;Midsommarafton;;S 19;;;O 19;;;L 19;;;M 19;;43 ;T 19;;;L 19;;
T 20;;;F 20;;;F 20;;;M 20;;17 ;O 20;;;L 20;Midsommardagen;;M 20;batch #8 (80);30 ;T 20;;;S 20;;;T 20;;;F 20;;;S 20;;
O 21;;;L 21;;;L 21;;;T 21;;;T 21;;;S 21;;;T 21;;;F 21;;;M 21;;39 ;O 21;;;L 21;;;M 21;;52 
T 22;;;S 22;;;S 22;;;O 22;;;F 22;;;M 22;batch #6 (80);26 ;O 22;;;L 22;;;T 22;;;T 22;;;S 22;;;T 22;;
F 23;;;M 23;;9 ;M 23;;13 ;T 23;;;L 23;Pingstafton;;T 23;;;T 23;;;S 23;;;O 23;;;F 23;;;M 23;;48 ;O 23;;
L 24;;;T 24;;;T 24;;;F 24;;;S 24;Pingstdagen;;O 24;;;F 24;;;M 24;;35 ;T 24;;;L 24;;;T 24;;;T 24;Julafton;
S 25;;;O 25;;;O 25;;;L 25;;;M 25;batch #4 (80);22 ;T 25;;;L 25;;;T 25;;;F 25;;;S 25;;;O 25;;;F 25;Juldagen;
M 26;;5 ;T 26;;;T 26;;;S 26;;;T 26;;;F 26;;;S 26;;;O 26;;;L 26;;;M 26;batch #15 (backup);44 ;T 26;;;L 26;Annandag jul;
T 27;;;F 27;;;F 27;;;M 27;batch #2 (80);18 ;O 27;;;L 27;;;M 27;;31 ;T 27;;;S 27;;;T 27;;;F 27;;;S 27;;
O 28;;;L 28;;;L 28;;;T 28;;;T 28;;;S 28;;;T 28;;;F 28;;;M 28;batch #13 (26);40 ;O 28;;;L 28;;;M 28;;53 
T 29;;;Veckonr.se;;;S 29;;;O 29;;;F 29;;;M 29;;27 ;O 29;;;L 29;;;T 29;;;T 29;;;S 29;;;T 29;;
F 30;;;;;;M 30;batch #1 (75) preseries;14 ;T 30;Valborgsmässoafton;;L 30;;;T 30;;;T 30;;;S 30;;;O 30;;;F 30;Alla helgons afton;;M 30;;49 ;O 30;;
L 31;;;;;;T 31;;;;;;S 31;;;;;;F 31;;;M 31;batch #11 (80);36 ;;;;L 31;Alla helgons dag;;Veckonr.se;;;T 31;Nyårsafton;
